#      O         NLL         <E>      <|M|>
17.554614   18.537992   -1.985007   0.995465   
17.520776   18.418797   -1.968649   0.991375   
17.562412   18.538319   -1.979074   0.993981   
17.569570   18.651068   -1.970494   0.991836   
17.547495   18.537031   -1.977684   0.993634   
17.565272   18.538031   -1.975448   0.993075   
17.561977   18.423712   -1.979488   0.993905   
17.542406   18.421923   -1.983752   0.995151   
17.519145   18.416994   -1.983826   0.995169   
17.584475   18.653255   -1.980536   0.994347   
17.477288   18.407288   -1.983618   0.995117   
17.456438   18.396488   -1.979971   0.993987   
17.468140   18.397335   -1.973510   0.992589   
17.392210   18.358303   -1.979836   0.994172   
17.539964   18.422136   -1.978311   0.993791   
17.459940   18.396708   -1.976540   0.993348   
17.572079   18.541512   -1.967289   0.991035   
17.448694   18.394182   -1.985267   0.995525   
17.431075   18.364384   -1.984405   0.995314   
17.451689   18.394201   -1.980754   0.994401   
17.577964   18.546871   -1.981834   0.994671   
17.576305   18.546761   -1.979681   0.994125   
17.595128   18.548285   -1.982134   0.994746   
17.522202   18.411327   -1.985621   0.995618   
17.563931   18.422571   -1.984350   0.995300   
17.395256   18.332785   -1.985804   0.995664   
17.413894   18.337904   -1.981223   0.994519   
17.407604   18.333963   -1.980330   0.994295   
17.410740   18.334036   -1.976945   0.993449   
17.514817   18.415758   -1.975224   0.993019   
17.529299   18.417095   -1.976767   0.993405   
